committee_id	name	type	office_scope	status	provenance	evidence	added
38729	Friends of Jeylu Gutierrez	Candidate	ward-14	A	incumbent-roster	Support the candidacy of Jeylu B. Gutierrez	2026-08-24
23079	Friends of Raymond A Lopez	Candidate	ward-15	A	incumbent-roster	To support the candidacy of Raymond A Lopez for election to public office.	2026-08-24
34374	Friends of Stephanie Coleman	Candidate	ward-16	A	text-pass+incumbent-roster	To support Stephanie Coleman for Alderman 16th Ward city of Chicago	2026-08-24
23127	Citizens to Elect David Moore	Candidate	ward-17	A	text-pass+incumbent-roster	To support the candidacy of David Moore, alderman of the 17th Ward	2026-08-24
26217	Citizens to Elect Derrick G Curtis	Candidate	ward-18	A	text-pass+incumbent-roster	Candidate for Alderman	2026-08-24
22919	Friends of Matt O'Shea	Candidate	ward-19	A	incumbent-roster	To support candidates for public office	2026-08-24
34336	Friends for Jeanette B Taylor	Candidate	ward-20	A	text-pass+incumbent-roster	To elect Jeanette B.Taylor to alderman of the 20th ward.	2026-08-24
41212	Neighbors to Elect Tshey Gebre	Candidate	ward-20	A	r2-table	Elect Tshey Gebre to office	2026-08-24
38748	Friends of Ronnie Mosley	Candidate	ward-21	A	incumbent-roster	The purpose of the committee is to elect candidates for public office enorsed by the committee and to support or oppose questions of public policy endorsed by the committee	2026-08-24
31905	Friends of Michael D Rodriguez	Candidate	ward-22	A	text-pass+incumbent-roster	To elect Michael D. Rodriguez as Alderman	2026-08-24
23775	Friends of Tabares	Candidate	ward-23	A	incumbent-roster	To support the election of Silvana Tabares	2026-08-24
38561	Citizens for Monique Scott	Candidate	ward-24	A	incumbent-roster	Support Monique for candidacy for elected office	2026-08-24
25956	Friends of Byron Sigcho Lopez	Candidate	ward-25	A	text-pass+incumbent-roster	To support the candidacy of Byron Sigcho Lopez for the Office of Alderman for the 25th Ward of the City of Chicago.	2026-08-24
34777	Community For Aida Flores	Candidate	ward-25	A	text-pass	Elect Aida Flores for the 25th Ward	2026-08-24
41174	The 25th Ward for Ian Watkins	Candidate	ward-25	A	r2-table+text-pass	To elect Ian Watkins as Alderman of the 25th Ward of Chicago, Illinois. This effort includes supporting staff and hosting fundraisers.	2026-08-24
41208	Neighbors for Nubia	Candidate	ward-25	A	r2-table	To support Nubia Batista Willman for elected office.	2026-08-24
41282	Leo for 25	Candidate	ward-25	A	r2-table+text-pass	To support the candidacy of Leonardo Quintero for Alderman	2026-08-24
41298	Friends of Miguel Chacon	Candidate	ward-25	A	r2-table+text-pass	To support the election of Miguel Chacon as Alderman of the 25th Ward.	2026-08-24
38831	Friends of Jessie Fuentes	Candidate	ward-26	A	incumbent-roster	To elect Jessie Fuentes to public office.	2026-08-24
40747	Friends of Walter Red Burnett	Candidate	ward-27	A	text-pass+incumbent-roster	To elect Walter R Burnett as 27th Ward Alderman	2026-08-24
41065	Friends of Dan Olas	Candidate	ward-27	A	r2-table+text-pass	Elect Dan Olas as Chicago's 27th Ward Alderman, Feb. 2027 Election	2026-08-24
41269	Citizens for Nathan F Cornell	Candidate	ward-27	A	r2-table+text-pass	To elect Nathan F Cornell as Alderman of Chicago's 27th Ward	2026-08-24
23112	Citizens for Ervin	Candidate	ward-28	A	incumbent-roster	To support the political efforts of Jason C Ervin	2026-08-24
25937	Friends of Chris Taliaferro	Candidate	ward-29	A	incumbent-roster	To elect Chris Taliaferro to public office	2026-08-24
38706	Friends of Ruth Cruz	Candidate	ward-30	A	text-pass+incumbent-roster	To Elect Ruth Cruz to 30th Ward Alderperson	2026-08-24
41241	Friends of Judy Velez	Candidate	ward-30	A	r2-table	To support the nomination and election of Juritzy "Judy" Velez by raising and exending funds for campaign activity,voter outreach, communications, advertising, events and all other lawful activities permitted by the Illinois Election Code.	2026-08-24
34692	Citizens to Elect Felix Cardona Jr	Candidate	ward-31	A	text-pass+incumbent-roster	Help to elect Alderman for 31st Ward	2026-08-24
41304	Neighbors for Alonso Zaragoza	Candidate	ward-31	A	r2-table	To elect Alonso Zaragoza to public office	2026-08-24
19898	Citizens for Waguespack	Candidate	ward-32	A	text-pass+incumbent-roster	To support the candidacy for Alderman of the 32nd Ward.	2026-08-24
41244	Friends of Patrick Gilsenan	Candidate	ward-32	A	r2-table	To elect Patrick Gilsenan to public office.	2026-08-24
34611	People for Rossana	Candidate	ward-33	A	text-pass+incumbent-roster	To support the candidacy of Rossana Rodriguez for the office of Alderman, in the 33rd Ward, in the city of Chicago.	2026-08-24
41291	Friends of Maria Gordils	Candidate	ward-33	A	r2-table+text-pass	To provide better city service, make our sreet safer, better our education system, try to stop increasing property taxes as alderperson	2026-08-24
38623	New Day Bill Conway	Candidate	ward-34	A	incumbent-roster	Elect Bill Conway to Public Office	2026-08-24
37143	People for Anthony	Candidate	ward-35	A	incumbent-roster	To support the election of Anthony Joel Quezada	2026-08-24
41254	Neighbors for Omari	Candidate	ward-35	A	r2-table+text-pass	To elect Omari Bektemba as Alderman of the City of Chicago's 35th Ward	2026-08-24
26023	Friends of Gilbert Villegas for Alderman	Candidate	ward-36	A	text-pass+incumbent-roster	To support the Election of Gilbert Villegas as Alderman of the 36th Ward of the City of Chicago.	2026-08-24
15622	Citizens to Elect Emma Mitts	Candidate	ward-37	A	incumbent-roster	Fundraising	2026-08-24
41039	Friends of Kobey Lofton	Candidate	ward-37	A	r2-table+text-pass	To support the nomination and election of Kobey Lofton for Alderman of the 37th Ward, City of Chicago, including engaging in lawful campaign activities such as voter outreach, community engagement, fundraising, communications, and compliance w/ IL. Electi	2026-08-24
19830	Friends of Nicholas Sposato	Candidate	ward-38	A	text-pass+incumbent-roster	To support the candidacy of  Nicholas Sposato for 36th Ward Alderman, City of Chicago	2026-08-24
34569	Friends of Samantha Nugent	Candidate	ward-39	A	text-pass+incumbent-roster	Elect Samantha Nugent 39th Ward Alderman, City of Chicago	2026-08-24
34524	Neighbors for Andre	Candidate	ward-40	A	incumbent-roster	Elect Andre Vasquez to office	2026-08-24
26028	Friends of Anthony Napolitano	Candidate	ward-41	A	text-pass+incumbent-roster	To elect Anthony V Napolitano Alderman	2026-08-24
19263	Citizens for Reilly	Candidate	ward-42	A	incumbent-roster	To support the candidacy of Brendan Reilly.	2026-08-24
38596	Friends of Timmy Knudsen	Candidate	ward-43	A	incumbent-roster	To elect Timothy "Timmy" Knudsen.	2026-08-24
38699	Friends of Bennett Lawson	Candidate	ward-44	A	text-pass+incumbent-roster	Elect Bennett Lawson as 44th Ward Alderperson Chicago	2026-08-24
41191	Friends of DJ	Candidate	ward-44	A	r2-table+text-pass	Elect DJ Doran as Alderman of 44th Ward	2026-08-24
41257	Pals in for Kalen	Candidate	ward-44	A	r2-table	To elect Kalen Laciano to public office	2026-08-24
34894	Friends to Elect Jim Gardiner	Candidate	ward-45	A	text-pass+incumbent-roster	To support James Gardiner for Alderman of 45th Ward	2026-08-24
41149	Neighbors for Leah	Candidate	ward-45	A	r2-table	To elect Leah Cunningham Pouw to public office	2026-08-24
41157	SGD for 45	Candidate	ward-45	A	r2-table+text-pass	To support the candidacy of S "SGD" Gronkiewicz-Doran	2026-08-24
35096	Neighbors for Angela Clay	Candidate	ward-46	A	text-pass+incumbent-roster	To elect Angela Clay and maintain an inclusive, thriving community in the 46th Ward.	2026-08-24
34345	Friends of Matt Martin	Candidate	ward-47	A	text-pass+incumbent-roster	To support the candidacy of Matt Martin for Alderman	2026-08-24
38605	Friends of Leni Manaa-Hoppenworth	Candidate	ward-48	A	incumbent-roster	To Elect Leni Manaa-Hoppenworth to Public Office	2026-08-24
41170	Justin Carmien for 48th Ward Alderman	Candidate	ward-48	A	r2-table+text-pass	To support the nomination and election of Justin Carmien to the office of Alderperson, City of Chicago (48th Ward)	2026-08-24
41188	Friends of Troy	Candidate	ward-48	A	r2-table	To elect Troy McMillan to public office.	2026-08-24
34202	Maria For The 49th Ward	Candidate	ward-49	A	text-pass+incumbent-roster	Elect Maria Hadden	2026-08-24
22982	Friends for Debra Silverstein	Candidate	ward-50	A	text-pass+incumbent-roster	To support Debra Silverstein for Alderman for the 50th Ward of the City of Chicago, IL.	2026-08-24
41217	Friends of Paul Jacobs	Candidate	council-unspecified	A	r2-table+text-pass	To elect Paul Jacobs for alderman, City of Chicago, if and only if the race is open	2026-08-24
